year,month,venta_total
2023,1,22903739213.0
2023,2,22380265840.0
2023,3,27673753704.0
2023,4,24574649682.0
2023,5,25674394954.0
2023,6,26005537999.0
2023,7,23896519888.0
2023,8,25275074013.0
2023,9,23485710379.0
2023,10,28594342703.0
2023,11,25973255521.0
2023,12,22645195461.0
2024,1,23490568345.0
2024,2,22539833214.0
2024,3,25111214879.0
2024,4,24871354679.0
2024,5,24558606236.0
2024,6,23233740300.0
2024,7,24600617767.0
2024,8,24981380593.0
2024,9,22648008031.0
2024,10,29370482456.0
2024,11,27233229264.0
2024,12,24323969472.0
2025,1,24614299635.0
2025,2,23105727221.0
2025,3,27404790522.0
2025,4,26233927646.0
2025,5,26040641569.0
2025,6,24046833037.0
2025,7,26038312301.0
2025,8,24250985032.0
2025,9,24501360895.0
2025,10,28568867168.0
2025,11,25913869409.0
2025,12,25301334202.0
2026,1,24538889856.0
2026,2,23614447267.0
2026,3,28280921795.0
2026,4,26406780499.0
2026,5,3009490883.0
